X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
0,,37,,0,D2
1,B1,36,B1,0,E3
2,C1,35,C1,0,G4
3,D1,34,D1,0,D5
4,A2,33,A2,,
5,B2,32,B2,,
6,C2,31,C2,,
7,D2,30,D2,,
8,A3,29,A3,,
9,B3,28,B3,,
10,C3,27,C3,,
11,D3,26,D3,,
12,A4,25,A4,,
13,B4,24,B4,,
14,C4,23,C4,,
15,D4,22,D4,,
16,B5,21,B5,,
17,C5,20,C5,,
18,D5,19,D5,,
19,E5,18,E5,,
20,F5,17,F5,,
21,G5,16,G5,,
22,E4,15,E4,,
23,F4,14,F4,,
24,G4,13,G4,,
25,H4,12,H4,,
26,E3,11,E3,,
27,F3,10,F3,,
28,G3,9,G3,,
29,H3,8,H3,,
30,E2,7,E2,,
31,F2,6,F2,,
32,G2,5,G2,,
33,H2,4,H2,,
34,E1,3,E1,,
35,F1,2,F1,,
36,G1,1,G1,,
37,,0,,,
