X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
0,,37,,4,D1
1,B3,36,B1,4,H1
2,C3,35,C1,4,D3
3,D3,34,D1,4,D4
4,A4,33,A2,,
5,B4,32,B2,,
6,C4,31,C2,,
7,D4,30,D2,,
8,A5,29,A3,,
9,B5,28,B3,,
10,C5,27,C3,,
11,D5,26,D3,,
12,A6,25,A4,,
13,B6,24,B4,,
14,C6,23,C4,,
15,D6,22,D4,,
16,B7,21,B5,,
17,C7,20,C5,,
18,D7,19,D5,,
19,E7,18,E5,,
20,F7,17,F5,,
21,G7,16,G5,,
22,E6,15,E4,,
23,F6,14,F4,,
24,G6,13,G4,,
25,H6,12,H4,,
26,E5,11,E3,,
27,F5,10,F3,,
28,G5,9,G3,,
29,H5,8,H3,,
30,E4,7,E2,,
31,F4,6,F2,,
32,G4,5,G2,,
33,H4,4,H2,,
34,E3,3,E1,,
35,F3,2,F1,,
36,G3,1,G1,,
37,,0,,,
